osver,release,arch,date,title,kb,updateID,files,sha1
10,21H2,x64,2024-01,2024-01 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5034122),KB5034122,a2c3d773-7083-4aa8-b424-5893d2e75431,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/01/windows10.0-kb5034122-x64_de14dfac8817c1d0765b899125c63dc7b581958b.msu'],['de14dfac8817c1d0765b899125c63dc7b581958b']
10,21H2,x64,2024-02,2024-02 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5034763),KB5034763,a6e81b35-eec2-4d8a-a4a3-00b8a616bcdd,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/02/windows10.0-kb5034763-x64_6521af0cf2b99dc4052def154af986cea1c03415.msu'],['6521af0cf2b99dc4052def154af986cea1c03415']
10,21H2,x64,2024-03,2024-03 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5035845),KB5035845,7e8a4d88-e593-4cc1-ae6c-06c5c52ef989,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/03/windows10.0-kb5035845-x64_b4c28c9c57c35bac9226cde51685e41c281e40eb.msu'],['b4c28c9c57c35bac9226cde51685e41c281e40eb']
10,21H2,x64,2024-04,2024-04 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5036892),KB5036892,701963a4-9265-47fa-b4e1-994ef948b5dc,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/04/windows10.0-kb5036892-x64_3346840c83d2b0e13df6608bb1a118fdc08af709.msu'],['3346840c83d2b0e13df6608bb1a118fdc08af709']
10,21H2,x64,2024-05,2024-05 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5037768),KB5037768,b60e7133-296e-4754-8586-72025377bfa3,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/05/windows10.0-kb5037768-x64_a627ecbec3d8dad1754d541b7f89d534a6bdec69.msu'],['a627ecbec3d8dad1754d541b7f89d534a6bdec69']
10,21H2,x64,2024-06,2024-06 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5039211),KB5039211,4adf097f-e0d0-4857-932a-bfb3f89bcc80,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/06/windows10.0-kb5039211-x64_843b4012c177692deb4f9f32bb52f69b925a7c3c.msu'],['843b4012c177692deb4f9f32bb52f69b925a7c3c']
10,21H2,x64,2024-07,2024-07 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5040427),KB5040427,ee976e3b-cf14-495b-9775-d2946bd7fcf7,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/07/windows10.0-kb5040427-x64_750f2819b527034dcdd10be981fa82d140767f8f.msu'],['750f2819b527034dcdd10be981fa82d140767f8f']
10,21H2,x64,2024-08,2024-08 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5041580),KB5041580,ab9f0f51-c7bb-4eb0-acb5-35923a602e2c,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/08/windows10.0-kb5041580-x64_b3de56748ec2ba6f57af49e58690585ed0c385ec.msu'],['b3de56748ec2ba6f57af49e58690585ed0c385ec']
10,21H2,x64,2024-09,2024-09 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5043064),KB5043064,60266751-937b-437b-b90d-c2d6cb6cde64,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/09/windows10.0-kb5043064-x64_0424c72dcc5ac6d6682f2108afe872ecb8a09394.msu'],['0424c72dcc5ac6d6682f2108afe872ecb8a09394']
10,21H2,x64,2024-10,2024-10 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5044273),KB5044273,81b9e537-daad-4b3c-8d6c-ec9a9a109f45,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/10/windows10.0-kb5044273-x64_71347fa01079c2b6278a0f48282b8ff3ded2f1e0.msu'],['71347fa01079c2b6278a0f48282b8ff3ded2f1e0']
10,21H2,x64,2024-11,2024-11 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5046613),KB5046613,875a0e6d-9935-4c7c-825e-42a42ded2671,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/11/windows10.0-kb5046613-x64_f6b774d0bfa6e59ea25a2285b6b822797f84f903.msu'],['f6b774d0bfa6e59ea25a2285b6b822797f84f903']
10,21H2,x64,2024-12,2024-12 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5048652),KB5048652,c341209d-2da5-499b-9cbe-7b8b64f8a08e,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/12/windows10.0-kb5048652-x64_279b3aca56a2aa72aa2d08ccc30fad69bd5a1e29.msu'],['279b3aca56a2aa72aa2d08ccc30fad69bd5a1e29']
10,21H2,x64,2025-01,2025-01 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5049981),KB5049981,58b62b75-ba93-4e33-9b72-fbd9c80247f6,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2025/01/windows10.0-kb5049981-x64_bda073f7d8e14e65c2632b47278924b8a0f6b374.msu'],['bda073f7d8e14e65c2632b47278924b8a0f6b374']
10,21H2,x64,2025-02,2025-02 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5051974),KB5051974,6eb75d7d-edb9-4685-b042-2c88bf430579,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2025/02/windows10.0-kb5051974-x64_74aa601c3966a9e1ad4efe6287550c0f0bdea59d.msu'],['74aa601c3966a9e1ad4efe6287550c0f0bdea59d']
10,21H2,x64,2025-03,2025-03 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5053606),KB5053606,1a371189-832c-4afe-936c-d8159a10079a,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2025/03/windows10.0-kb5053606-x64_7415dee0978d4cdecfc284e53222dfa1d36d6894.msu'],['7415dee0978d4cdecfc284e53222dfa1d36d6894']
10,21H2,x64,2025-04,2025-04 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5055518),KB5055518,1dc17de9-4f65-41c5-986d-63506478420d,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2025/04/windows10.0-kb5055518-x64_0504a2aa182fc23d9651dd6842b7e6388a0ee07b.msu'],['0504a2aa182fc23d9651dd6842b7e6388a0ee07b']
10,21H2,x64,2025-05,2025-05 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5061979),KB5061979,94ae2cb1-2084-4e76-b11e-a46b7fa45611,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/updt/2025/05/windows10.0-kb5061979-x64_08a8b6833dfd507c47dec771f51cea58e3ae0a5f.msu'],['08a8b6833dfd507c47dec771f51cea58e3ae0a5f']
10,21H2,x64,2025-06,2025-06 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5060533),KB5060533,8c214d5e-ef2e-446f-95de-2eb5d4238d3d,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2025/06/windows10.0-kb5060533-x64_dbb8353c12c9760b0c56a8834719b68a01a20abb.msu'],['dbb8353c12c9760b0c56a8834719b68a01a20abb']
